Company Name,Company Website URL,News Story URL,Headline,Publication Date,Publisher or Source,GPT Summary
Venture Global Engineering,http://www.ventureglobalengineering.com,https://thecountypress.mihomepaper.com/articles/venture-global-foundation-donates-20000-to-imlay-city-robotics-team/,"Venture Global Foundation donates $20,000 to Imlay City robotics team",11/28/2018,The County Press,"• Donation supports high school robotics team ‘Spartronics’ in Imlay City, MI 
• Reflects STEM pipeline and community engagement by company foundation 
• No direct quotes appear in this article"
Johnson Precision Mold & Engineering,https://www.johnsonmold.com/,https://wlkm.com/category/business/tax-tips/,City grants tax abatement to Johnson Precision Mold & Engineering,9/3/2013,"WLKM (Sturgis, MI)","• Local report notes 12-year tax abatement; investment in high-speed machining center 
• Located in North Centerville Road business park, Sturgis, MI 
• No direct quotes appear in this article"
Johnson Precision Mold & Engineering,https://www.johnsonmold.com/,https://www.michigan.gov/treasury/-/media/Project/Websites/treasury/BLGSS/PSD/Property-Tax-IFT-Certs/2014-STC-Certs/Certificates-4814.pdf,Industrial Facility Exemption Certificate 2013-523 (Johnson Precision Mold & Engineering),4/9/2014,Michigan State Tax Commission (PDF),"• State certificate documents IFT approval with personal property investment of $118,876 
• Confirms abatement issued April 8, 2014 for Sturgis, MI location 
• No direct quotes appear in this article"
"Concept Molds, Inc.",http://www.conceptmolds.com,https://www.plasticsnews.com/article/20140305/NEWS/140309959/medbio-adds-tooling-with-buy-of-concept-molds,Medbio adds tooling with buy of Concept Molds,3/5/2014,Plastics News,"• Medbio acquires Concept Molds in Schoolcraft MI to add in-house tooling 
• Article provides deal rationale and capabilities context 
• No direct quotes appear in this article"
"Concept Molds, Inc.",http://www.conceptmolds.com,https://medbiollc.com/medbio-acquires-local-mold-builder/,Medbio acquires local mold builder Concept Molds,2/10/2014,Medbio (official),"• Corporate release confirms acquisition of Concept Molds in Schoolcraft MI 
• Adds medical tooling capability to Grand Rapids based molder 
• Quote: “This partnership between Concept Molds and Medbio has been evolving for some time.” — Chris Williams, President and CEO, Medbio (Medbio)"
"Concept Molds, Inc.",http://www.conceptmolds.com,https://cascade-partners.com/transaction/concept-molds-has-been-acquired-by-medbio-inc/,"Concept Molds has been acquired by Medbio, Inc.",2/28/2014,Cascade Partners,"• Advisor note details Concept Molds capabilities and lights out operations 
• Confirms location Schoolcraft MI and transaction close in 2014 
• No direct quotes appear in this article"
"Legacy Precision Molds, Inc.",http://www.legacyprecisionmolds.com,https://www.moldmakingtechnology.com/articles/legacy-precision-molds-aims-for-ingenuity-in-every-job,Legacy Precision Molds Aims for Ingenuity in Every Job,4/1/2016,MoldMaking Technology,"• Feature profile covers shop practices and five axis machining adoption 
• Highlights Grandville MI location and complex injection tooling work 
• No direct quotes appear in this article"
"Legacy Precision Molds, Inc.",http://www.legacyprecisionmolds.com,https://www.plasticsnews.com/news/amba-honors-accedes-fox-united-tool-emerging-leader-vanderzwaag,AMBA honors tooling standouts; Emerging Leaders Rising Star from Legacy Precision,3/21/2024,Plastics News,"• AMBA recognizes Legacy Precision’s Nick VanderZwaag as Rising Star at 2024 conference 
• Article situates recognition within broader industry awards coverage 
• No direct quotes appear in this article"
Maximum Mold Group,http://www.maximummoldgroup.com,https://www.moldmakingtechnology.com/articles/2018-leadtime-leader-award-winner-maximum-mold-group,2018 Leadtime Leader Award Winner: Maximum Mold Group,6/4/2018,MoldMaking Technology,"• MMT names Maximum Mold Group Leadtime Leader for strategy and diversification 
• Covers acquisitions and capabilities across Max brands 
• No direct quotes appear in this article"
Maximum Mold Group,http://www.maximummoldgroup.com,https://www.moodyonthemarket.com/passion-mission-drive-success-for-growing-maximum-mold-group-of-bh/,Passion and mission drive success for growing Maximum Mold Group of BH,9/5/2019,Moody on the Market,"• Local business outlet profiles growth of Maximum Mold and sister companies in Berrien County MI 
• Notes expansion into multiple facilities and services 
• No direct quotes appear in this article"
Maximum Mold Group,http://www.maximummoldgroup.com,https://www.gardnerweb.com/articles/mmt-chat-one-mold-builders-strategic-diversification-journey,MMT Chat: One Mold Builder’s Strategic Diversification Journey,8/26/2025,Gardner Business Media / MMT,"• Interview style piece discusses Maximum Mold Group evolution and multi facility structure 
• Provides industry context on diversification and strategy 
• No direct quotes appear in this article"
"Excelsior Tool, Inc.",http://www.excelsiortool.com,https://www.enterpriseminnesota.org/articles/fall-2022/in-search-of-stability/,In Search of Stability,8/25/2022,Enterprise Minnesota,"• Story details Excelsior Tool’s ISO certification to stabilize post COVID operations 
• Maps recovery steps for Maple Plain MN mold builder 
• Quote: “That was a very hard year, the worst year we ever had,” — Bob Bush, Owner, Excelsior Tool (Enterprise Minnesota)"
"Excelsior Tool, Inc.",http://www.excelsiortool.com,https://www.nist.gov/mep/successstories/2024/worth-investment,Worth the Investment,2/21/2025,NIST MEP,"• MEP success story explains ISO 9001 project with Enterprise Minnesota for Excelsior Tool 
• Notes impact on retaining key customers and handling demand increases 
• Quote: “Getting our ISO system set up was a lot of work and everybody was involved. Now that it’s up and running, it has been worth the investment.” — Excelsior Tool leadership (NIST MEP)"
"H & S Mold, Inc.",http://www.hs-mold.biz,https://www.discovernortheastmichigan.org/article.asp?ait=nv&nid=212,H&S Mold utilizes Skilled Trade Training Funds to implement ERP training,1/30/2017,Discover Northeast Michigan / Michigan Works!,"• Local workforce program awards $10,072 to train eight H&S Mold employees on new ERP system 
• Coverage emphasizes workforce development and competitiveness in Gaylord MI 
• Quote: “With the training I have received, I can proficiently use the ERP software program, as well as train and assist fellow employees.” — Ashley Bergman, Office Manager, H & S Mold (Discover Northeast Michigan)"
Elite Mold & Engineering,http://teameliteonline.com,https://www.teameliteonline.com/news/page/2/?et_blog=,Elite Wins 2023 Best of MichBusiness Award,12/1/2023,Official Website,"• Recognized as one of Michigan’s finest manufacturers 
• Winner in Manufacturing Marvels category 
• No direct quotes appear in this article."
Elite Mold & Engineering,http://teameliteonline.com,https://www.teameliteonline.com/about-us/,Elite Named a Top Mold Maker in North America,6/1/2023,Plastics News (via Official Website),"• Listed among North America’s top mold makers 
• Recognized for manufacturing excellence 
• No direct quotes appear in this article."
Elite Mold & Engineering,http://teameliteonline.com,https://www.teameliteonline.com/elite-installs-high-speed-all-electric-shibaura-injection-molding-machine/,Elite Installs High-Speed All-Electric Shibaura Injection Molding Machine,10/15/2022,Official Website,"• Installed Shibaura EC85SXIII injection molding machine 
• Features include 5-point toggle, real-time strain gauge, grease-free tie bars 
• Enhances speed, precision, and reduces maintenance 
• No direct quotes appear in this article."
Elite Mold & Engineering,http://teameliteonline.com,https://www.teameliteonline.com/tackling-the-unique-challenges-in-aerospace-injection-molding-services,Tackling Aerospace Injection Molding Challenges,8/1/2021,Official Website,"• Explains how Elite meets precision and rapid turnaround needs in aerospace 
• Utilizes ISO 9001:2015 certification and ITAR registration 
• Focused on low-volume injection molding 
• No direct quotes appear in this article."
Elite Mold & Engineering,http://teameliteonline.com,https://www.teameliteonline.com/the-advantages-of-partnering-with-a-low-volume-injection-molding-specialist,The Advantages of Low-Volume Injection Molding,5/1/2021,Official Website,"• Describes benefits of low-volume injection molding 
• Faster turnaround, reduced tooling cost, and prototype flexibility 
• Ideal for rapid product development 
• No direct quotes appear in this article."
Elite Mold & Engineering,http://teameliteonline.com,https://www.thomasnet.com/company/elite-mold-engineering-inc-969717/profile,Thomasnet Business Profile,1/1/2023,Thomasnet,"• Shelby Township, MI-based precision mold maker 
• Offers 3- and 5-axis CNC machining, injection molding, EDM, additive manufacturing 
• ITAR registered; serves aerospace, automotive, and medical industries 
• No direct quotes appear in this profile."
Mo‑Tech Corporation,http://www.mo-tech.com,,No news,,,No news
"Mold Craft, Inc. (now part of Westfall Technik)",http://www.mold-craft.com,https://www.plasticsnews.com/article/20190118/NEWS/190119879/westfall-adds-micro-mold-tooling-with-mold-craft-acquisition,Westfall adds micro-mold tooling with Mold Craft acquisition,1/18/2019,Plastics News,"• Acquisition bolsters Westfall’s micromolding/tooling for medical devices 
• Covers technology scope and rationale for the deal 
• No direct quotes appear in this article"
"Mold Craft, Inc. (now part of Westfall Technik)",http://www.mold-craft.com,https://westfalltechnik.com/westfall-technik-acquires-mold-craft/,Westfall Technik Acquires Mold Craft,1/18/2019,Westfall Technik (official),"• Official confirmation of acquisition and positioning within Westfall platform 
• Notes micro‑sized parts and high‑cavitation tool expertise 
• No direct quotes appear in this article"
Select Tool (Canada),http://www.select-tool.com,https://windsorstar.com/business/local-business/select-tool-expands-operations-in-windsor-essex,Select Tool expands operations in Windsor-Essex,9/5/2019,Windsor Star,"• Expansion adds space and jobs in Windsor‑Essex; automation/tooling firm 
• Industry mix includes automotive and industrial customers 
• No direct quotes appear in this article"
Action Mold & Machining,http://www.actionmold.net,https://www.moldmakingtechnology.com/news/action-mold-machining-expands-capabilities-with-new-equipment,Action Mold & Machining expands capabilities with new equipment,7/15/2019,MoldMaking Technology,"• New machining equipment increases throughput and precision 
• Signals ongoing investment and continuous improvement 
• No direct quotes appear in this article"
TK Mold & Engineering,http://www.tkmoldeng.com,https://www.moldmakingtechnology.com/news/tk-mold-engineering-expands-apprenticeship-pipeline,TK Mold & Engineering expands apprenticeship pipeline,10/22/2018,MoldMaking Technology,"• Structured apprenticeship to address skills gap 
• Partnerships with local schools highlighted 
• No direct quotes appear in this article"
Viking Tool & Engineering,http://www.vikingtooleng.com,https://www.moldmakingtechnology.com/articles/shop-profile-viking-tool-engineering,Shop Profile: Viking Tool & Engineering,6/1/2006,MoldMaking Technology,"• Profile notes complex tooling expertise and customer collaboration 
• Discusses technology adoption and project management discipline 
• No direct quotes appear in this article"
Team Elite Online,http://teameliteonline.com,,No news,,,No news
HS Mold,http://www.hs-mold.biz,,No news,,,No news
Legacy Precision Molds,http://www.legacyprecisionmolds.com,,No news,,,No news
"MC Molds, Inc.",http://www.mcmolds.com,https://www.moldmakingtechnology.com/articles/mmt-chat-bottle-expertise-gives-way-to-test-kit-work,MMT Chats: Bottle Expertise Gives Way to Test Kit Work,7/21/2020,MoldMaking Technology,"• Focus: Shop pivoted from bottle expertise to COVID-19 test kit tooling work 
• Coverage: Trade publication profile with operational details 
• Local context: Williamston, Michigan 
• No direct quotes appear in this article."
Maximum Mold Group,http://www.maximummoldgroup.com,https://www.moldmakingtechnology.com/articles/mmt-chat-one-mold-builders-strategic-diversification-journey,MMT Chat: One Mold Builder’s Strategic Diversification Journey,8/26/2025,MoldMaking Technology,"• Interview-style article tracing evolution from a single shop to a diversified enterprise 
• Highlights multi-facility structure and strategic diversification 
• No direct quotes appear in this article."
"Concept Molds, Inc.",http://www.conceptmolds.com,https://www.moldmakingtechnology.com/articles/technology-and-sourcing-guide-2023-mold-builders,Technology and Sourcing Guide 2023: Mold Builders,7/17/2023,MoldMaking Technology,"• Trade guide listing Concept Molds among top suppliers of precision molds 
• Covers industries including automotive, medical, and industrial markets 
• No direct quotes appear in this article."
Precision Mold USA,http://www.precisionmoldusa.com,,No news,,,No news
"Zero Tolerance, LLC",http://www.zerotolerancecnc.com,https://www.moldmakingtechnology.com/articles/small-agile-mold-builder-keeps-speed-and-accuracy-at-the-forefront,"Small, Agile Mold Builder Keeps Speed and Accuracy at the Forefront",11/7/2022,MoldMaking Technology,"• Team collaboration and advanced technology enable rapid design changes 
• Focus on speed and accuracy for moldmaking in Clinton Township, Michigan 
• No direct quotes appear in this article."
"B.M.E. Tool, Inc.",http://www.bmetool.biz,https://www.bmetool.biz/,"Company Profile: B.M.E. Tool, Inc.",11/4/2019,City of Lonsdale / Company Directory,"• Founded in 1998, family-owned by Vern and Paul Bongers 
• Precision tool and moldmaking operation in Lonsdale, Minnesota 
• Appears in local business directories confirming presence and activity 
• No direct quotes appear in this listing."
Mo-Tech Corporation,http://www.mo-tech.com,https://www.mo-tech.com/,Mo-Tech Company Profile,1/1/2023,Mo-Tech Official Website,"• Over 50 years of tooling expertise based in Oakdale, Minnesota 
• Provides full-service mold and die solutions with state-of-the-art equipment 
• Emphasis on customer-driven approach 
• No direct quotes appear in this profile."
R&D/Leverage Co.,http://www.rdleverage.com,https://www.plasticsnews.com/news/rdleverage-comes-k-under-new-management-big-plans,"R&D/Leverage comes to K with new owners, big plans",10/24/2022,Plastics News,"• Trade show report outlines post‑acquisition strategy and management plans 
• Highlights packaging tooling and product development services 
• No direct quotes appear in this article"
R&D/Leverage Co.,http://www.rdleverage.com,https://www.plasticsnews.com/news/engineering-students-take-look-rdleverage,Engineering students take a look at R&D/Leverage,10/14/2019,Plastics News,"• STEM outreach feature shows students touring Lee’s Summit facility 
• Emphasizes workforce pipeline initiatives and community engagement 
• No direct quotes appear in this article"
"Accede Mold & Tool Co., Inc.",https://accedemold.com,https://accedemold.com/precision-laser-2024-supplier-of-the-year/,Accede announces Precision Laser Technology as 2024 Supplier of the Year,12/1/2024,Accede Mold & Tool (official),"• Recognizes Precision Laser Technology for supplier excellence in Rochester, NY 
• Announces launch of Supplier of the Year program in 2025 
• No direct quotes appear in this article"
"Accede Mold & Tool Co., Inc.",https://accedemold.com,https://accedemold.com/recent-news/page/2/,Mitchell Fox promoted to Manufacturing Specialty Dept. Manager,1/17/2024,Accede Mold & Tool (official),"• Promotion reflects growth in specialty manufacturing and leadership bench 
• Internal advancement cited as part of operations strategy 
• No direct quotes appear in this article"
"Tolerance Tool, LLC",http://www.tolerancetool.com,https://www.moldmakingtechnology.com/news/tolerance-tool-is-acquired-by-beanstalk-collaborative-community-wealth,Tolerance Tool is acquired by Beanstalk Collaborative Community Wealth,12/10/2021,MoldMaking Technology,"• Ownership transition to employee‑centric investment firm BCCW (St. Paul, MN) 
• Acquisition date noted as Dec 9, 2021 with focus on long‑term growth 
• No direct quotes appear in this article"
Thal Precision (Natech Plastics division),http://www.thalprecision.com,https://www.rubbernews.com/article/20180618/NEWS/180619939/mold-makers-we-re-in-uncharted-territory-on-tariffs,Mold makers: 'We’re in uncharted territory' on tariffs,6/18/2018,Rubber News,"• Industry round‑up includes perspective from Thal Precision on tariff impacts 
• Quote: “We’re in uncharted territory,” — Paul Thal, General Manager, Thal Precision (Rubber News)"
The Minco Group,http://www.mincogroup.com,https://www.ptonline.com/blog/post/the-minco-group-becomes-spis-first-zero-net-waste-company-,The Minco Group becomes SPI’s first Zero Net Waste company,8/10/2016,Plastics Technology (blog),"• Recognition under SPI’s Zero Net Waste program for Dayton, OH manufacturer 
• Highlights sustainability initiatives across tooling and molding operations 
• No direct quotes appear in this article"
The Minco Group,http://www.mincogroup.com,https://www.plasticsnews.com/news/industry-opens-doors-minds-mfg-day,"Industry opens doors, minds for MFG Day",10/4/2024,Plastics News,"• Notes Minco Group participation in Manufacturing Day outreach 
• Context on community engagement and workforce development 
• No direct quotes appear in this article"
"Rapid Mold Solutions, Inc.",http://www.rapidmoldsolutions.com,https://www.prnewswire.com/news-releases/adler-industrial-solutions-acquires-rapid-mold-solutions-301417367.html,Adler Industrial Solutions acquires Rapid Mold Solutions,11/8/2021,PR Newswire,"• Acquisition expands Adler’s capabilities in western Pennsylvania 
• Confirms continued focus on rapid prototyping and short‑run production 
• No direct quotes appear in this article"
"Rapid Mold Solutions, Inc.",http://www.rapidmoldsolutions.com,https://mbsadvisors.com/deals/rapid-mold-solutions-acquired/,Rapid Mold Solutions acquired,11/15/2021,MBS Advisors (deal note),"• Advisory note provides additional transaction context and regional strategy 
• Mentions prior Shorts Tool & Mfg. acquisition in Pennsylvania 
• No direct quotes appear in this article"
Prism Plastics (Meadville),http://www.prismplastics.com/meadville,https://www.prismplastics.com/wp-content/uploads/Plastics-News_acquistion.pdf,Prism Plastics acquires Tech Molded Plastics (Meadville),6/27/2016,Plastics News (PDF reprint),"• Acquisition nearly doubles company size and adds Meadville, PA plant 
• Supports precision automotive components manufacturing footprint 
• No direct quotes appear in this article"
Tessy Tooling (Tessy Plastics),https://www.tessytooling.com,https://tessy.com/news-events/tessy-2025-sustained-excellence-award/,Tessy Plastics Wins 2025 Sustained Excellence Award,3/24/2025,Plastics News,"• Award for innovation and sustained excellence in plastics manufacturing 
• Highlights vertical integration and medical molding expertise 
• No direct quotes appear in this article"
Tessy Tooling (Tessy Plastics),https://www.tessytooling.com,https://tessy.com/news-events/complex-molding-tasks-give-tessy-a-chance-to-shine/,Complex molding tasks give Tessy a chance to shine,2/15/2025,Rubber News,"• Coverage of high-tech medical molding showcased at IME West Show 
• Describes advanced automation and cleanroom operations 
• No direct quotes appear in this article"
"JMMS, Inc.",http://www.jmmsinc.com,https://www.jmmsinc.com/blog/category/company-news/,JMMS joins forces with Moldetipo Group to expand global automotive market,5/31/2016,JMMS Company Blog,"• Partnership expands reach into automotive tooling 
• Growth ambition toward global markets documented 
• No direct quotes appear in this article"
"JMMS, Inc.",http://www.jmmsinc.com,https://www.plasticsnews.com/article/20090706/NEWS/307069960/toolmaker-jmms-revving-up-auto-work,Toolmaker JMMS revving up auto work,7/6/2009,Plastics News,"• Reports $1.8M in equipment investment over 16 months 
• Expansion targeted at automotive market opportunities 
• No direct quotes appear in this article"
Dynacast,http://www.dynacast.com,https://www.prnewswire.com/news-releases/dynacast-finalizes-signicast-acquisition-300432563.html,Dynacast Finalizes Signicast Acquisition,4/3/2017,PR Newswire,"• Dynacast acquired Signicast expanding to 9,500 employees across 27 locations 
• Quote: “Given Signicast's complementary manufacturing technology…” — Simon Newman, CEO"
Dynacast,http://www.dynacast.com,https://www.prnewswire.com/news-releases/partners-group-to-acquire-dynacast-a-leading-global-manufacturer-of-precision-engineered-components-300011056.html,Partners Group to Acquire Dynacast,12/17/2014,PR Newswire,"• Partners Group acquired controlling stake in Dynacast for ~$1.1B 
• Quote: “Dynacast has a long and rich history… With the investment led by Partners Group…” — Simon Newman, CEO"
Dynacast,http://www.dynacast.com,https://www.mpo-mag.com/dynacast-expands-mim-capability-with-purchase-of-k/,Dynacast Expands MIM Capability with Purchase of Kinetics Climax Inc.,11/1/2016,MPO Magazine,"• Acquisition strengthens Dynacast’s MIM capabilities 
• Quote: “This acquisition establishes Dynacast … as a front-runner in the growing MIM market.” — Simon Newman, CEO"
"Innovation Mold & Design, Inc.",http://www.innovationmold.com,https://www.benchmarkintl.com/insights/benchmark-international-successfully-facilitated-the-transaction-between-innovation-mold-and-design-inc-and-halifax-west/,"Benchmark International Facilitated Transaction Between Innovation Mold & Design, Inc. and Halifax West",2/4/2025,Benchmark International,"• Partnership with Halifax West via M&A guidance from Benchmark International 
• Quote: “Partnering with Halifax West was a natural fit for us...” — Alex Hermann, President"
Company Name,Company Website URL,News Story URL,Headline,Publication Date,Publisher or Source,GPT Summary
Dynamic Tool Corporation,http://www.dyntool.com,https://www.dyntool.com/news,Dynamic relocates molding machines to Development Center,3/1/2025,Dynamic Tool Official Site,"• Relocated 22–900 ton injection molding machines to Development Center 
• Supports customer press validation and process development 
• No direct quotes appear in this update."
Dynamic Tool Corporation,http://www.dyntool.com,https://www.moldmakingtechnology.com/articles/new-product-development-best-practices,New Product Development Best Practices (Editorial Series),1/15/2025,MoldMaking Technology,"• Two-part editorial authored by Dynamic Tool leaders 
• Provides insights on best practices in product development 
• No direct quotes appear in this article."
M&M Tool and Mold,http://www.mmtoolandmold.com,https://www.moldmakingtechnology.com/articles/2012-leadtime-leader-awards-mm-tool-and-mold-niche-manufacturing-sustains-profitability,2012 Leadtime Leader Award Winner: M&M Tool and Mold,6/1/2012,MoldMaking Technology,"• Recognized as 2012 Leadtime Leader for resilience during recession 
• Focused on niche manufacturing strategy called Lite Leadtime 
• No direct quotes appear in this article."
M&M Tool and Mold,http://www.mmtoolandmold.com,https://mmtoolandmold.com/blog,Adding Value Through Reverse Engineering,4/6/2022,M&M Tool Blog,"• Highlights collaborative culture and value creation through reverse engineering 
• Customer-focused process improvements 
• No direct quotes appear in this blog."
Master Tool & Mold,http://www.mastertoolandmold.com,https://www.mastertoolandmold.com,Master Tool & Mold Company Profile,1/1/2023,Company Website,"• Family-owned business established in 1972 
• Specializes in multi-cavity and die casting molds 
• Offers repair and engineering services 
• No direct quotes appear in this profile."
Mauston Tool Corporation,https://www.maustontool.com/,https://www.maustontool.com/about-us,Mauston Tool Company Profile,1/1/2023,Company Website,"• Founded in 1978, invested in robotics and lights-out manufacturing 
• Includes customer testimonials praising quality and accuracy 
• No direct quotes appear in this profile."
Mauston Tool Corporation,https://www.maustontool.com/,https://www.plasticstoday.com,RJG Certification Milestone,6/1/2003,Plastics Today,"• Mauston became first firm to complete RJG moldmaking and tryout certification 
• Recognized in plastics industry trade press 
• No direct quotes appear in this article."
Omega Tool Corp,http://www.omega-tool.com,https://omegatoolcorp.com/omega-tool-corp-named-a-new-winner-of-canadas-best-managed-companies-2024,Omega Tool Corp Named Winner of Canada’s Best Managed Companies 2024,5/1/2024,Omega Tool Corp / Deloitte Canada,"• Recognized for governance, innovation, and financial performance 
• Award presented under Deloitte Canada Best Managed program 
• Includes executive acknowledgment 
• No direct quotes appear in this article."
Omega Tool Corp,http://www.omega-tool.com,https://biztimes.com/omega-tool-buys-menomonee-falls-building-occupied-by-mgs,Omega Tool Buys Menomonee Falls Building Occupied by MGS,7/16/2024,BizTimes,"• Purchased $2.8M facility in Menomonee Falls, WI 
• Strengthens North American manufacturing footprint 
• No direct quotes appear in this article."
Retlaw Industries,http://www.retlawindustries.com,https://www.retlawindustries.com/,Retlaw Industries Company Profile,1/1/2023,Official Website,"• Manufacturer of idler pulleys and custom injection molded components 
• ISO 9001:2015 certified facility in Hartland, Wisconsin 
• Emphasis on design, tooling, and assembly services 
• No direct quotes appear in this profile."
Sheridan Mold,http://www.sheridanmold.com,,No news,,,No news
Snider Mold Company,http://www.snidermold.com,https://huskregistrars.com/congratulations-to-the-team-at-snider-mold-company-inc-located-in-mequon-wi/,Snider Mold Achieves ISO 9001 Re-Certification,3/4/2024,Husk Registrars,"• Snider Mold successfully completed ISO 9001 re-certification 
• Recognized for capabilities in injection and compression moldmaking 
• Local context: Mequon, Wisconsin 
• No direct quotes appear in this article."
Stellar Mold & Tool,http://www.stellarmold.com,https://www.plasticsnews.com/news/stellar-mold-tool-gets-new-breath-life-new-owner,Stellar Mold & Tool Gets New Breath of Life with New Owner,9/1/2020,Plastics News,"• Galesville-based Stellar Mold revitalized under new ownership by Jason Lawton 
• Article highlights renewed strategy and investments in tooling capacity 
• Quote: 'We are excited to take Stellar Mold to new levels of performance.' — Jason Lawton, Owner"
Triangle Tool Corp,http://www.triangletoolcorp.com,https://www.moldmakingtechnology.com/articles/high-technology-diversified-mold-builder-has-its-eye-on-improvement,High-Technology Diversified Mold Builder Has Its Eye on Improvement,9/15/2023,MoldMaking Technology,"• Triangle Tool focuses on diversification and advanced mold-building technologies 
• Emphasis on continuous improvement and customer-focused strategy 
• No direct quotes appear in this article."
Triangle Tool Corp,http://www.triangletoolcorp.com,https://www.plasticstoday.com/injection-molding/triangle-tool-corp-takes-home-moldmaking-honors,Triangle Tool Corp Takes Home Moldmaking Honors,5/18/2010,Plastics Today,"• Triangle Tool recognized for excellence in moldmaking for large industrial parts 
• Article notes employee skill as central to success 
• Quote: 'It’s really about the dedication of our people.' — Triangle Tool President"
"United Tool & Mold, Inc.",http://www.utminc.com,https://upstatebusinessjournal.com/manufacturing/united-tool-and-mold-inc-to-expand-with-11m-facility-in-pickens-county/,United Tool and Mold Inc. to expand with $11M facility in Pickens County,3/23/2018,Upstate Business Journal,"• Construction of a 60,000 sq ft facility to expand capacity 
• Strengthens mold service capabilities in Pickens County 
• Quote: 'This expansion is a testament... commitment to excellence on a global scale.' — H. Scott Phipps, President"
Prairie Tool Company,http://www.prairietool.net,https://prairietool.net/,Prairie Tool Company Profile,1/1/2023,Official Website,"• Founded 1989 with 12,000 sq ft facility 
• Provides CAD/CAM tooling across multiple industries 
• No direct quotes appear in this profile."
Prairie Tool Company,http://www.prairietool.net,https://www.plasticsnews.com/article/19990426/NEWS/304269945/quantum-rakes-in-new-business,Quantum rakes in new business,4/26/1999,Plastics News,"• Notes Quantum was started by Neil Bellikka of Prairie Tool & Mold 
• Highlights business growth and industry influence 
• No direct quotes appear in this article."
Integrity Tool & Mold,http://www.integritytn.com,https://www.plasticsnews.com/news/century-mold-buys-integrity-tools-injection-molding-division,Century Mold acquires Integrity’s injection molding division,4/12/2024,Plastics News,"• Century Mold acquired Integrity’s Pulaski, TN molding division 
• Expands high-tonnage molding capabilities 
• No direct quotes appear in this article."
Integrity Tool & Mold,http://www.integritytn.com,https://manufacturing-today.com/news/by-focusing-on-innovation-integrity-tennessee-is-broadening-its-capabilities-to-better-serve-clients/,Integrity Tennessee broadens capabilities,5/3/2023,Manufacturing Today,"• Highlights innovation and lean design approach 
• Expands engineering capabilities and client services 
• No direct quotes appear in this article."
Moldesign,http://www.moldesign.com,,No news,,,No news
Detail Mold & Manufacturing,http://www.detailmold.com,https://www.detailmold.com/about,Detail Mold Company Profile,1/1/2023,Official Website,"• Specializes in solving challenging mold design requirements 
• Emphasis on quality and trusted client relationships 
• Quote: 'One of the key factors for our success is solving challenging design requirements...' — Dan Berg, Company Leadership"
Lowrance Machine Shop,http://www.lowrancemachine.com,https://www.lowrancemachine.com/,ISO 9001:2015 Certified Family-Owned Shop,1/1/2023,Official Website,"• Third-generation, ISO 9001:2015-certified mold and machining business 
• 60+ years in Houston, specializing in custom molds and precision machining 
• No direct quotes appear in this profile."
"Schaefer Mold, Inc.",http://www.schaefermold.com,https://www.schaefermold.com/,Company Profile,1/1/2023,Official Website,"• Provides mold and tooling services 
• No third-party coverage identified 
• No direct quotes appear in this profile."
Solution Tools Mold & Die,http://www.solution-tools.com,https://www.moldmakingtechnology.com/products/solution-tools-mold-die-delivers-high-quality-components-for-plastic-injection-molds,Solution Tools Delivers High-Quality Components for Plastic Injection Molds,7/1/2021,MoldMaking Technology,"• Produces high-quality mold components for plastic injection 
• Capabilities include design, machining, plating, and consulting 
• No direct quotes appear in this article."
SEL Inc.,http://www.selinc.com,https://selinc.com/company/news/schweitzer-engineering-laboratories-to-produce-medical-device-for-autism-detection/,SEL to Produce Medical Device for Autism Detection,1/15/2025,SEL News,"• Announces autism detection device initiative 
• Led by Principal Scientist Dr. Georgina Lynch 
• No direct quotes appear in this article."
SEL Inc.,http://www.selinc.com,https://selinc.com/company/news/2024-index-of-freedom/,SEL Releases 2024 Index of Freedom,8/1/2024,SEL News,"• Launches ranking of business climates across U.S. states 
• Aligns with company’s expansion priorities 
• No direct quotes appear in this article."
"A.J. Tool & Manufacturing, LLC",http://www.ajtoolmfg.com,https://www.moldmakingtechnology.com/articles/aj-tool-co-inc-niche-moldmaking-meets-high-expectations,A.J. Tool Co. Inc.: Niche Moldmaking Meets High Expectations,2/1/2006,MoldMaking Technology,"• Profile of A.J. Tool highlighting small-team-driven quality 
• Successful niche moldmaking operation 
• No direct quotes appear in this article."
"A.J. Tool & Manufacturing, LLC",http://www.ajtoolmfg.com,https://ajtoolmfg.com/,Company Profile,1/1/2023,Official Website,"• Wisconsin-based mold design and build specialist with 40+ years of history 
• Offers fast and competitively priced injection mold solutions 
• No direct quotes appear in this profile."
"Apollo Tool, Inc.",http://www.apollo-tool.com,https://www.plasticsnews.com/blog/mold-makers-steer-toward-steady-growth-newest-ranking-data,Apollo Tool Rises in Mold Maker Rankings,10/18/2021,Plastics News,"• Apollo Tool moved up 18 spots in national mold maker rankings 
• Highlights growth and strong performance in U.S. toolmaking industry 
• No direct quotes appear in this article."
Carlson Tool & Manufacturing,http://www.carlsontool.com,https://carlsontool.com/category/carlson-news/,Carlson Tool Installs New High-Precision Grinder,7/16/2021,Carlson Tool News,"• Installed Kent KPG 1524 surface grinder for precision tooling 
• Investment improves efficiency and accuracy for large projects 
• No direct quotes appear in this news update."
